index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count,avg_bug-issue_time
1,actualbudget/actual,44639.0,1248.0,,7859.0,react,188.0,14.0,63.0,4206102.25698324
2,Reamd7/notion-zh_CN,10570.0,30.0,,129.0,No framework identified,3.0,5.0,66.0,inf
3,pot-app/pot-desktop,8822.0,237.0,,1879.0,react,89.0,23.0,47.0,331626.2705882353
4,nolanlawson/fuite,6015.0,906.0,,1329.0,angular,8.0,30.0,34.0,3054334.25
5,dragonir/3d,25998.0,2287.0,,3996.0,react,1.0,3.0,82.0,inf
6,kkoomen/pointless,3175.0,17.0,,362.0,react,4.0,9.0,51.0,inf
7,chetannada/Namaste-React,6541.0,60.0,,115.0,react,2.0,6.0,50.0,inf
8,VideoTogether/VideoTogether,74236.0,1553.0,,25732.0,No framework identified,3.0,23.0,78.0,inf
9,adrianhajdin/project_music_player,1100.0,3.0,,64.0,react,1.0,13.0,45.0,inf
10,lyfe00011/whatsapp-bot-md,4343.0,60.0,,825.0,No framework identified,61.0,68.0,94.0,561013.8076923077
11,CloudWise-OpenSource/FlyFish,,0.0,,,,25.0,2.0,32.0,2379123.380952381
12,duiqt/herta_kuru,647.0,24.0,,75.0,No framework identified,2.0,17.0,77.0,inf
13,avinash201199/Competitions-and-Programs-List,1223.0,4.0,,15.0,No framework identified,14.0,2.0,37.0,1423332.0833333333
14,illustrated-machine-learning/illustrated-machine-learning.github.io,1399.0,5.0,,29.0,react,2.0,7.0,45.0,inf
15,keldenl/gpt-llama.cpp,1908.0,79.0,,305.0,express,14.0,20.0,73.0,238096.5
16,EyuCoder/chatgpt-clone,620.0,4.0,,42.0,react,9.0,6.0,65.0,817416.4444444445
17,gamer-ai/eletypes-frontend,3908.0,43.0,,320.0,react,4.0,19.0,73.0,inf
18,cocktailpeanut/breadboard,171.0,8.0,,38.0,No framework identified,7.0,23.0,74.0,924615.1428571428
19,revenz/Fenrus,34518.0,1246.0,,9389.0,No framework identified,25.0,17.0,62.0,3616268.3333333335
20,mafiosnik777/enhancr,8384.0,1092.0,,2181.0,No framework identified,6.0,26.0,73.0,46489.0
21,jvdutrag/open-source-rpg,3166.0,11.0,,148.0,react,1.0,1.0,42.0,inf
22,idurar/starter-antd-admin-crud-auth-mern,5374.0,83.0,,292.0,react,1.0,6.0,34.0,inf
23,titaniumnetwork-dev/Ultraviolet,5606.0,47.0,,965.0,No framework identified,19.0,11.0,51.0,1440384.5263157894
24,benbrown/shuttlecraft,2942.0,53.0,,588.0,express,16.0,18.0,61.0,484808.25
25,lucahammer/fedifinder,1999.0,95.0,,483.0,express,18.0,19.0,69.0,519794.6666666667
26,badlogic/heissepreise,6546.0,183.0,,1663.0,express,14.0,11.0,75.0,226063.07142857145
27,iprodanovbg/homeassistant-desktop,681.0,6.0,,158.0,No framework identified,7.0,23.0,51.0,1844797.7142857143
28,dynamicweb/swiffy-slider,324.0,10.0,,89.0,No framework identified,20.0,6.0,34.0,352318.05
29,tenpages/us-level,1733.0,7.0,,74.0,No framework identified,1.0,14.0,58.0,inf
30,OpenAsar/arrpc,674.0,24.0,,193.0,No framework identified,5.0,6.0,66.0,170709.8
31,wenhaomin/ChatGPT-PromptGenius,22113.0,1474.0,,32735.0,No framework identified,2.0,9.0,70.0,inf
32,easonwong-de/Adaptive-Tab-Bar-Colour,1633.0,84.0,,451.0,No framework identified,17.0,2.0,67.0,3537782.294117647
33,chartello/chartello,932.0,0.0,,18.0,vue,2.0,1.0,37.0,inf
34,arduino/lab-micropython-editor,4599.0,433.0,,1599.0,No framework identified,10.0,16.0,85.0,1090469.1
35,barelyhuman/preact-native,,0.0,,,,1.0,7.0,35.0,inf
36,rstudio/shinyuieditor,108.0,2.0,,5.0,,22.0,12.0,52.0,2345780.727272727
37,dataplane-app/dataplane,29038.0,220.0,,2664.0,react,12.0,12.0,61.0,848044.9166666666
38,ericdiviney/react-handbook,4585.0,9.0,,124.0,react,3.0,5.0,36.0,inf
39,artgenexyz/webflow-nft-components,1567.0,24.0,,218.0,react,9.0,40.0,76.0,966473.1111111112
40,Tairraos/TikDown,832.0,11.0,,78.0,No framework identified,1.0,5.0,49.0,inf
41,Clueless-Community/first-contribution,4949.0,7.0,,20.0,react,13.0,4.0,92.0,41716.69230769231
42,zach-hopkins/create-t3svelte-app,469.0,17.0,,79.0,No framework identified,6.0,6.0,31.0,147122.33333333334
43,OSSPhilippines/philippines-travel-level-map,1498.0,8.0,,16.0,react,4.0,18.0,54.0,inf
44,LunarVim/lunarvim.org,1386.0,13.0,,54.0,react,8.0,8.0,31.0,2190267.25
45,foyzulkarim/mern-video-streaming,5966.0,40.0,,224.0,react,4.0,2.0,51.0,inf
46,aelassas/bookcars,,0.0,,,react,2.0,7.0,67.0,inf
47,Shopify/shopify-app-examples,1578.0,12.0,,103.0,react,2.0,14.0,81.0,inf
48,amupedia2021/Project-Amupedia,6494.0,73.0,,166.0,react,99.0,5.0,56.0,1277088.092783505
49,socketsupply/create-socket-app,660.0,6.0,,89.0,No framework identified,9.0,9.0,45.0,1700501.111111111
50,bytemakers/Noteslify,5095.0,155.0,,246.0,react,46.0,13.0,63.0,765009.5227272727
51,R2Northstar/NorthstarMasterServer,1971.0,46.0,,384.0,No framework identified,1.0,27.0,76.0,inf
52,tdjsnelling/sqtracker,11564.0,120.0,,1144.0,react,10.0,26.0,79.0,1226469.6
53,fjwillemsen/NativeOverleaf,1699.0,85.0,,459.0,No framework identified,5.0,9.0,61.0,1110918.4
54,immortalwrt/homeproxy,2775.0,200.0,,640.0,No framework identified,3.0,8.0,34.0,inf
55,joshcawthorne/LunaDesk,5842.0,157.0,,198.0,react,3.0,5.0,65.0,inf
56,MonalikaPatnaik/UMatter,5167.0,111.0,,127.0,react,165.0,19.0,82.0,306961.2243589744
57,ckalgos/fut-trade-enhancer,6868.0,40.0,,785.0,No framework identified,29.0,25.0,51.0,3319250.464285714
58,Project-And-Factory/BlurLyric,12292.0,253.0,,1323.0,vue,7.0,7.0,67.0,1072500.0
59,acikyazilimagi/deprem-io-backend,1536.0,31.0,,204.0,No framework identified,10.0,36.0,72.0,27083.7
60,alphabit-technology/erpnext-restaurant,5481.0,59.0,,963.0,No framework identified,3.0,3.0,64.0,inf
61,Kanika637/amazon-clone,2064.0,47.0,,46.0,react,21.0,3.0,57.0,614936.5
62,Meta3D-Technology/Meta3D,67065.0,9177.0,,11075.0,react,1.0,12.0,32.0,inf
63,Akshima-Ghai/OneEducationalWebsiteForAll,4347.0,29.0,,196.0,react,11.0,2.0,68.0,416701.7
64,Daksh777/TakeABreak,1013.0,155.0,,315.0,No framework identified,22.0,2.0,56.0,925189.3181818182
65,harshmangalam/hydrogen-solidjs-client,8308.0,62.0,,122.0,No framework identified,8.0,26.0,89.0,329459.125
66,small-tech/nodekit,3384.0,154.0,,391.0,foundation,3.0,13.0,77.0,inf
67,neesjanvaneck/VOSviewer-Online,11363.0,52.0,,1690.0,react,13.0,15.0,40.0,1588864.3076923075
68,GregVido/mica-electron,401.0,1.0,,56.0,No framework identified,7.0,17.0,32.0,1571285.142857143
69,Stoccoin-Official/Stoccoin-Website,2260.0,10.0,,62.0,react,40.0,16.0,67.0,2220872.789473684
70,dappnetbby/dappnet,3063.0,268.0,,376.0,react,13.0,8.0,62.0,3160214.0
71,UBA-GCOEN/StichHub,19159.0,556.0,,665.0,react,17.0,7.0,59.0,263456.75
72,davunt/app-eraser,716.0,11.0,,43.0,No framework identified,1.0,4.0,42.0,inf
73,sudojia/scripts,365.0,1.0,,98.0,No framework identified,1.0,1.0,57.0,inf
74,shi-yan/Epiphany,4651.0,198.0,,1081.0,No framework identified,2.0,20.0,73.0,inf
75,OrbisWeb3/orbis-sdk,2238.0,89.0,,402.0,No framework identified,1.0,4.0,34.0,inf
76,StreamAble-Team/StreamAble-app,12358.0,296.0,,376.0,react,10.0,16.0,58.0,40278.8
77,rohansx/informatician,5801.0,54.0,,152.0,react,201.0,26.0,83.0,116161.8345323741
78,quiqr/quiqr-desktop,19886.0,376.0,,2326.0,react,111.0,13.0,59.0,9295659.555555556
79,TeamAOF/All-of-Fabric-6,7626.0,2.0,,20.0,No framework identified,57.0,7.0,48.0,915396.8596491228
80,llopisdon/skies-adsb,1332.0,9.0,,189.0,No framework identified,1.0,12.0,67.0,inf
81,lmachens/skeleton,974.0,4.0,,143.0,No framework identified,4.0,5.0,43.0,inf
82,gabrysia694/Gym-Junkies,1026.0,6.0,,27.0,react,17.0,8.0,33.0,126419.5625
83,usmansbk/pomofocus,1152.0,0.0,,44.0,react,1.0,2.0,85.0,inf
84,ZigZagExchange/frontend,21625.0,218.0,,2302.0,react,24.0,40.0,94.0,425434.7916666667
85,Persian-Caesar/Ticker-Boy,2465.0,118.0,,698.0,express,1.0,3.0,68.0,inf
86,jessejanderson/skylink,182.0,2.0,,69.0,No framework identified,3.0,6.0,42.0,inf
87,CTF-Cafe/CTF_Cafe_platform,12275.0,255.0,,1737.0,react,11.0,6.0,83.0,1917518.6363636365
88,GamerKingFaiz/shouldiplay,736.0,3.0,,40.0,react,3.0,6.0,51.0,inf
89,ianb/llm-garden,16341.0,177.0,,2400.0,preact,2.0,13.0,95.0,inf
90,leomcelroy/svg-pcb,31018.0,2282.0,,9228.0,No framework identified,6.0,10.0,95.0,1608153.8
91,seths10/Quotes-Generator,6921.0,3.0,,4.0,No framework identified,1.0,4.0,88.0,inf
92,cyboholics/portfolioshop,4374.0,54.0,,118.0,react,7.0,3.0,31.0,3986195.5714285714
93,whitespider-dev/whitespider,100842.0,6702.0,,22715.0,No framework identified,1.0,2.0,57.0,inf
94,leolee9086/cc-image-tag-new,73445.0,4133.0,,60205.0,No framework identified,18.0,4.0,76.0,411353.3333333333
95,NovaAppsInc/fracital-proxy,60164.0,8935.0,,42512.0,express,6.0,1.0,37.0,4780457.0
96,spandan114/Crowdfunding-DAPP,1314.0,51.0,,69.0,react,1.0,2.0,34.0,inf
97,terwer/siyuan-plugin-publisher,10344.0,26.0,,711.0,vue,24.0,14.0,58.0,898895.1818181818
98,zoom/zoomapps-sample-js,526.0,0.0,,50.0,express,3.0,7.0,53.0,inf
99,GrabBits/GrabBits_Website,4819.0,63.0,,194.0,react,33.0,21.0,59.0,215145.1935483871
100,shohan-pherones/euphoria-ecommerce,2231.0,5.0,,64.0,react,2.0,9.0,94.0,inf
101,developerforce/salesforce-slack-starter-kit,1199.0,3.0,,73.0,express,5.0,18.0,46.0,5746881.0
